YEAR,STATEFIP,CITY,SEX,AGE,RACED,EDUC,EMPSTAT,OCC2010,IND,UHRSWORK,INCTOT,INCWAGE
2015,25,810,1,29,Japanese,10,3,4820,6970,50,75000,75000
2015,25,810,2,30,Japanese,10,3,5940,6870,40,15000,15000
2015,25,0,2,20,Indian,7,1,2340,7870,6,1500,1500
2015,25,0,2,62,Filipino,10,1,5700,8190,32,35000,35000
2015,25,0,1,50,Indian,11,1,110,6970,50,560000,551000
2015,25,0,2,36,Indian,11,1,430,7490,45,70000,70000
2015,25,0,1,38,Indian,11,1,4700,6970,45,100000,100000
2015,25,0,2,1,Indian,0,0,9920,0,0,9999999,999999
2015,25,810,1,60,Vietnamese,10,3,9920,0,0,0,0
2015,25,810,2,59,Vietnamese,6,1,4520,8990,20,17000,17000
2015,25,810,1,30,Vietnamese,10,1,4520,8990,40,37000,37000
2015,25,810,1,21,Vietnamese,7,1,2200,7870,10,600,600
2015,25,7570,1,27,Indian,10,3,1650,8190,0,0,0
2015,25,7570,1,28,Indian,10,3,9920,0,0,0,0
2015,25,7570,2,25,Indian,10,3,9920,0,0,0,0
2015,25,810,2,18,Chinese,7,3,4010,8680,35,2500,2500
2015,25,810,2,60,Filipino,10,1,3130,8190,40,90000,90000
2015,25,810,1,30,Filipino,11,1,2310,7860,40,50000,50000
2015,25,810,2,22,Filipino,10,1,3640,7980,30,19000,19000
2015,25,810,2,19,Filipino,7,1,4720,8680,16,340,340
2015,25,0,1,58,Other,6,1,6230,5790,40,53000,53000
2015,25,0,1,62,Chinese,4,1,5540,6370,40,64000,64000
2015,25,0,2,51,Chinese,4,1,4230,8660,40,35200,35200
2015,25,0,1,17,Chinese,5,3,9920,0,0,0,0
2015,25,0,1,14,Chinese,2,0,9920,0,0,9999999,999999
2015,25,0,2,39,Filipino,7,1,5940,8090,40,25000,25000
2015,25,7570,1,18,Vietnamese,6,3,9920,0,0,0,0
2015,25,0,2,27,Other,11,1,4510,8980,40,23200,23200
2015,25,0,1,34,Other,11,1,9140,8660,40,59000,59000
2015,25,0,2,45,Vietnamese,10,2,120,6970,44,165000,165000
2015,25,0,2,24,Chinese,10,1,5860,7580,40,7000,7000
2015,25,0,1,21,Chinese,7,3,9920,0,0,0,0
2015,25,0,1,21,Indian,7,3,840,7870,20,2000,2000
2015,25,0,2,32,Other,10,1,430,7970,45,82000,82000
2015,25,7570,1,58,Chinese,0,1,5620,5380,40,20000,20000
2015,25,7570,2,59,Chinese,0,1,5620,5380,40,20000,20000
2015,25,7570,2,25,Chinese,10,1,8350,5170,37,40000,40000
2015,25,7570,2,21,Chinese,6,1,4760,5380,20,1500,1500
2015,25,0,2,34,Korean,10,1,1000,6970,50,53000,53000
2015,25,0,1,40,Indian,10,1,430,7380,40,551000,551000
2015,25,0,2,38,Indian,10,3,9920,0,0,0,0
2015,25,0,1,11,Indian,1,0,9920,0,0,9999999,999999
2015,25,0,2,9,Indian,1,0,9920,0,0,9999999,999999
2015,25,810,1,76,Vietnamese,0,3,9920,0,0,36000,0
2015,25,810,2,76,Vietnamese,0,3,9920,0,0,6000,0
2015,25,3770,2,29,Thai,5,3,6050,170,0,0,0
2015,25,3770,1,11,Thai,2,0,9920,0,0,9999999,999999
2015,25,3770,1,10,Thai,1,0,9920,0,0,9999999,999999
2015,25,3770,1,8,Thai,1,0,9920,0,0,9999999,999999
2015,25,0,1,34,Korean,11,1,1760,7870,40,68000,68000
2015,25,0,2,31,Korean,11,3,9920,0,0,0,0
2015,25,0,1,7,Korean,1,0,9920,0,0,9999999,999999
2015,25,0,2,2,Korean,0,0,9920,0,0,9999999,999999
2015,25,930,2,29,Indian,11,1,2200,7870,60,35000,35000
2015,25,0,1,40,Vietnamese,10,1,1430,3380,40,88000,88000
2015,25,0,2,34,Vietnamese,10,1,120,6870,40,51000,51000
2015,25,0,2,6,Vietnamese,1,0,9920,0,0,9999999,999999
2015,25,0,1,2,Vietnamese,0,0,9920,0,0,9999999,999999
2015,25,0,2,31,Vietnamese,10,1,2310,7860,25,15600,8400
2015,25,0,2,48,Other,11,1,840,3370,44,80000,80000
2015,25,0,1,20,Other,6,1,4760,5180,40,1000,1000
2015,25,0,1,39,Other,10,1,2720,7870,50,55000,55000
2015,25,0,1,50,Indian,10,1,4720,5480,20,12500,5000
2015,25,0,2,45,Indian,10,1,4760,5380,38,22500,22500
2015,25,0,2,14,Indian,3,0,9920,0,0,9999999,999999
2015,25,0,2,9,Indian,1,0,9920,0,0,9999999,999999
2015,25,6670,1,35,Vietnamese,7,2,8740,4170,40,40000,40000
2015,25,6670,2,27,Vietnamese,6,1,4520,8990,30,18700,18700
2015,25,6670,2,2,Vietnamese,0,0,9920,0,0,9999999,999999
2015,25,0,2,51,Korean,10,3,9920,0,0,0,0
2015,25,0,1,23,Korean,7,3,4840,3365,40,20000,20000
2015,25,0,1,14,Korean,3,0,9920,0,0,9999999,999999
2015,25,0,1,48,Indian,10,2,730,7380,0,0,0
2015,25,0,2,44,Indian,11,1,430,3590,40,150000,150000
2015,25,0,2,17,Indian,5,1,5860,7270,6,2500,2500
2015,25,0,1,15,Indian,3,0,9920,0,0,0,999999
2015,25,810,2,19,Chinese,7,1,2000,7870,12,2500,2500
2015,25,0,2,18,Chinese,6,2,5620,5170,20,5500,5500
2015,25,0,2,21,Korean,6,1,3600,8190,25,4000,4000
2015,25,0,2,49,Other,11,1,2000,7860,35,55000,55000
2015,25,810,1,19,Other,7,3,9920,0,0,254000,0
2015,25,810,1,16,Other,6,3,9920,0,0,6500,0
2015,25,810,1,16,Other,6,3,9920,0,0,0,0
2015,25,0,1,26,Chinese,10,1,1960,7870,60,30000,30000
2015,25,7570,1,18,Vietnamese,6,3,9920,0,0,0,0
2015,25,0,1,40,Indian,11,1,1020,6970,40,120000,120000
2015,25,0,2,34,Indian,11,1,130,2190,45,100000,100000
2015,25,0,2,5,Indian,1,0,9920,0,0,9999999,999999
2015,25,0,2,60,Filipino,10,1,230,7890,38,56000,56000
2015,25,0,1,37,Chinese,11,1,2200,7870,40,150000,150000
2015,25,0,2,35,Chinese,11,1,800,6490,40,78000,78000
2015,25,0,1,3,Chinese,1,0,9920,0,0,9999999,999999
2015,25,0,2,36,Indian,11,3,1020,7380,0,0,0
2015,25,0,1,41,Indian,11,1,1020,6490,40,80000,80000
2015,25,0,2,1,Indian,0,0,9920,0,0,9999999,999999
2015,25,0,2,66,Indian,6,3,9920,0,0,0,0
2015,25,0,2,43,Vietnamese,10,3,9920,0,0,0,0
2015,25,0,1,51,Vietnamese,8,1,1100,6870,72,268000,240000
2015,25,0,2,16,Vietnamese,4,1,3950,8590,6,1400,1400
2015,25,0,2,15,Vietnamese,2,0,9920,0,0,0,999999
2015,25,0,2,11,Vietnamese,2,0,9920,0,0,9999999,999999
2015,25,0,1,8,Vietnamese,1,0,9920,0,0,9999999,999999
2015,25,810,1,29,Vietnamese,10,1,1530,3960,45,70000,70000
2015,25,810,1,67,Vietnamese,6,3,9640,3960,40,3000,3000
2015,25,810,2,65,Vietnamese,6,1,8300,9070,72,10000,0
2015,25,810,2,19,Indian,7,1,10,9370,40,6300,6300
2015,25,0,1,46,Chinese,11,1,1020,3390,40,130000,130000
2015,25,0,2,47,Chinese,11,1,1610,7460,40,110000,110000
2015,25,0,2,15,Chinese,3,0,9920,0,0,0,999999
2015,25,0,2,11,Chinese,2,0,9920,0,0,9999999,999999
2015,25,0,1,76,Chinese,10,3,9920,0,0,2100,0
2015,25,0,2,24,Chinese,10,1,2320,7860,50,43800,43800
2015,25,3770,1,19,Other,6,3,9920,0,0,0,0
2015,25,810,1,41,Indian,11,1,1650,7870,60,205000,200000
2015,25,930,1,21,Indian,7,1,4640,7870,20,15000,15000
2015,25,3770,1,43,Chinese,11,1,2200,7870,20,1500,1500
2015,25,3770,1,29,Chinese,11,1,1650,7460,55,50000,50000
2015,25,0,1,29,Indian,10,1,1020,7380,40,90000,90000
2015,25,0,2,30,Indian,10,3,1020,7380,0,0,0
2015,25,0,2,2,Indian,0,0,9920,0,0,9999999,999999
2015,25,0,1,1,Indian,0,0,9920,0,0,9999999,999999
2015,25,810,2,53,Chinese,6,3,9920,0,0,440,0
2015,25,810,1,56,Chinese,6,1,4000,8680,50,12000,12000
2015,25,810,2,22,Chinese,7,3,950,7870,7,700,700
2015,25,810,2,22,Chinese,7,3,5240,6970,8,3200,3200
2015,25,810,1,17,Chinese,6,3,5810,8190,5,750,750
2015,25,810,2,23,Chinese,7,3,9920,0,0,0,0
2015,25,0,1,18,Filipino,5,3,3950,8590,30,3500,3500
2015,25,0,1,14,Filipino,2,0,9920,0,0,9999999,999999
2015,25,0,1,61,Chinese,7,1,430,7380,50,130050,130000
2015,25,0,2,19,Chinese,7,3,9920,0,0,4,0
2015,25,0,1,41,Korean,11,1,1530,3960,40,104000,104000
2015,25,0,2,40,Korean,11,1,3060,7970,55,180000,180000
2015,25,0,2,6,Korean,1,0,9920,0,0,9999999,999999
2015,25,0,1,3,Korean,0,0,9920,0,0,9999999,999999
2015,25,0,2,26,Other,7,3,520,4770,40,7000,7000
2015,25,0,2,75,Chinese,6,3,9920,0,0,10200,0
2015,25,0,1,78,Chinese,10,3,9920,0,0,11800,0
2015,25,0,2,56,Chinese,6,1,9640,4470,50,49100,49100
2015,25,0,1,63,Chinese,6,3,9920,0,0,0,0
2015,25,7570,2,43,Chinese,11,1,1760,3380,40,79000,79000
2015,25,810,1,50,Chinese,11,1,1650,7460,40,240000,220000
2015,25,810,2,30,Chinese,11,2,1430,3960,40,7400,7400
2015,25,0,2,58,Filipino,10,1,710,7390,60,42900,0
2015,25,0,1,24,Chinese,0,1,5120,7280,45,70000,70000
2015,25,930,1,26,Korean,11,1,1760,7870,40,30000,30000
2015,25,810,1,43,Chinese,11,1,1760,2190,40,120000,120000
2015,25,810,2,42,Chinese,10,2,3300,7870,0,8000,0
2015,25,810,1,17,Chinese,6,3,9920,0,0,0,0
2015,25,810,1,9,Chinese,1,0,9920,0,0,9999999,999999
2015,25,0,2,33,Other,6,1,5120,5380,36,45650,45400
2015,25,0,1,16,Other,4,3,9920,0,0,0,0
2015,25,0,2,13,Other,2,0,9920,0,0,9999999,999999
2015,25,0,2,8,Other,1,0,9920,0,0,9999999,999999
2015,25,0,1,32,Indian,11,1,4700,4970,55,40000,0
2015,25,0,2,36,Indian,10,1,5400,8670,36,15000,15000
2015,25,930,2,23,Chinese,10,1,2200,7870,60,31500,31500
2015,25,0,2,57,Filipino,10,1,3130,8170,40,70000,70000
2015,25,0,1,56,Filipino,10,1,3500,8270,40,61000,61000
2015,25,0,2,15,Filipino,3,0,9920,0,0,0,999999
2015,25,930,1,32,Other,11,1,3060,8190,70,67200,67000
2015,25,0,1,76,Indian,11,3,9920,0,0,81000,0
2015,25,810,1,69,Vietnamese,10,3,4500,8970,0,281600,0
2015,25,810,2,48,Vietnamese,6,1,5165,6990,40,56000,56000
2015,25,810,1,26,Vietnamese,10,2,850,6970,0,12000,0
2015,25,810,2,25,Vietnamese,10,1,4720,8680,20,9400,9400
2015,25,810,2,21,Vietnamese,7,2,4830,7670,10,5000,5000
2015,25,0,1,21,Korean,7,1,4430,6570,12,2000,2000
2015,25,0,2,40,Indian,11,1,5110,7590,40,26400,24000
2015,25,0,1,43,Indian,11,1,1460,7290,40,83100,83000
2015,25,0,2,7,Indian,1,0,9920,0,0,9999999,999999
2015,25,0,1,5,Indian,1,0,9920,0,0,9999999,999999
2015,25,810,2,14,Chinese,2,0,9920,0,0,9999999,999999
2015,25,0,1,29,Chinese,7,1,8650,8190,40,39000,39000
2015,25,0,2,43,Other,0,1,5700,8190,40,14000,14000
2015,25,0,2,7,Chinese,1,0,9920,0,0,9999999,999999
2015,25,0,1,3,Chinese,0,0,9920,0,0,9999999,999999
2015,25,810,1,46,Vietnamese,10,1,4760,5370,2,120,120
2015,25,0,1,18,Indian,6,3,9920,0,0,0,0
2015,25,810,2,79,Chinese,0,3,9920,0,0,11600,0
2015,25,0,2,18,Chinese,7,1,4140,7870,6,70,70
2015,25,0,1,22,Other,7,3,4060,8680,15,1200,1200
2015,25,0,2,59,Thai,1,1,8965,2490,45,50000,50000
2015,25,810,1,28,Chinese,10,1,2200,7870,2,3400,3400
2015,25,810,1,26,Chinese,10,1,2200,7870,2,3400,3400
2015,25,0,2,26,Other,10,1,1010,8370,40,35500,35500
2015,25,0,1,27,Korean,10,1,4110,8680,30,57000,57000
2015,25,0,2,25,Vietnamese,10,1,1800,9570,40,50000,50000
2015,25,0,2,20,Vietnamese,7,3,9920,0,0,0,0
